,popularity
323572,27
30740,33
366799,36
308719,15
429224,18
394005,18
511245,0
278303,56
143079,25
320945,51
566636,18
82911,0
193682,33
370774,49
404949,35
364693,17
155707,53
163014,8
193556,31
429898,15
83465,0
492581,44
140794,25
419121,26
158972,65
584239,49
479040,51
123661,0
390107,59
265866,4
150875,3
503523,28
559555,34
181255,19
121699,0
255993,41
458204,16
199651,55
109138,40
306389,8
436419,45
582682,33
86996,38
14830,0
258334,14
37433,24
162225,38
317560,1
39845,5
499911,44
238413,63
536280,40
556083,31
151769,36
107240,21
200530,28
163798,41
65499,65
567375,26
484267,28
32545,53
230483,31
228399,21
4182,0
38270,27
61952,47
382656,11
281871,22
494257,21
285666,36
572581,22
481496,61
116688,0
175438,34
62131,45
3463,1
349046,25
85871,0
119483,0
156312,53
364095,26
482084,1
497852,34
80920,2
265946,8
46583,59
52355,38
533664,18
173148,43
62365,42
464157,62
121787,0
250198,30
413470,50
431934,23
114856,6
194123,36
80487,11
287051,0
211525,0
396619,43
189226,1
447580,34
302972,53
241464,11
438522,55
10089,0
115000,32
545301,24
167720,37
38205,28
426174,50
537292,14
366116,29
243656,18
24454,0
75615,20
383859,17
496135,27
145005,29
477023,27
514436,1
117840,68
272702,22
215850,24
215170,35
342940,32
137684,13
89545,9
421900,12
415731,35
242660,40
520370,23
262934,44
429728,15
9919,0
410555,19
18533,0
4871,9
144530,28
54231,41
106228,37
176693,37
394197,19
283593,19
579068,20
294726,40
241419,32
463561,61
244274,16
574611,36
177643,38
171888,41
567523,33
204631,24
74440,81
546625,15
580374,19
29887,24
489031,4
435167,43
512713,0
203327,3
367249,27
231755,35
64522,64
522500,12
563656,1
416633,1
370801,46
26523,35
46879,46
419233,23
514155,1
529167,36
126709,34
260475,35
157336,64
255342,54
528228,47
558990,40
376722,25
519798,24
145672,33
399114,47
548004,28
268965,18
275957,36
116056,0
23077,7
381379,54
334305,21
456441,50
56450,38
90682,11
345305,7
382190,4
554009,35
569960,60
518624,9
425174,0
490202,50
333823,18
238347,3
292698,24
58216,43
585588,6
191103,33
497551,30
82400,66
212500,5
438725,63
339226,11
152047,43
574805,50
165390,15
274505,45
331037,38
492006,36
380653,46
68427,46
28097,11
234888,33
28773,20
99167,31
260108,25
513832,0
2415,1
267667,19
311518,42
576276,0
264710,43
427185,51
59968,46
306986,7
436100,38
403787,55
578761,19
372485,57
258909,16
8465,0
153584,43
453451,25
72224,51
220429,18
403674,20
131893,64
417177,8
72641,62
394492,21
444373,60
131110,0
292115,24
140175,25
286199,47
74358,55
379978,28
513487,0
447865,38
525484,31
381063,1
493242,1
581451,22
391033,13
297244,49
344766,45
259386,35
220829,7
504095,34
201136,47
556918,49
435195,42
439167,65
81014,59
323998,8
44037,40
172492,32
316579,36
204440,23
320836,23
3022,0
317979,4
37915,35
163760,53
365182,32
559232,31
58700,54
277371,42
197338,36
208939,49
251196,17
21752,0
459543,22
574386,34
154331,49
505239,6
514805,9
198617,33
559497,36
243140,45
509077,24
59794,51
310733,34
456976,1
4208,0
44233,37
542108,10
251859,23
243169,38
365553,23
30597,42
160781,0
492667,47
146281,28
362964,27
301189,44
159420,1
581554,21
232952,32
183380,32
324019,8
455631,49
227212,34
258703,3
569675,56
571449,14
496057,27
461757,48
316734,36
526118,33
530017,42
88897,6
86567,5
279798,44
164229,17
536524,1
223548,32
473731,28
155909,44
193264,34
121041,1
121574,0
228815,19
265259,37
104527,56
144188,11
137161,17
225078,14
462919,54
292933,19
289891,12
576884,15
520691,15
447532,36
516455,17
167304,27
94646,7
339416,8
212546,3
542899,22
2527,1
466519,39
312989,43
11967,0
512775,0
190367,23
499232,41
157230,44
581591,33
262258,44
459107,16
228502,38
410924,14
403012,41
294921,40
288339,3
31178,22
91549,73
337572,0
263646,43
523461,26
316278,12
405064,46
309250,19
59564,62
96206,17
576814,14
567531,30
538868,18
313150,48
113923,33
227861,41
333972,28
381806,37
475385,45
496201,23
508945,23
65878,52
417580,32
131439,0
394234,17
208387,18
12947,0
160860,1
130327,0
190801,19
37948,34
294399,57
535570,30
384850,24
55317,39
107244,35
304246,3
555952,26
567648,35
329191,6
16900,0
366303,18
349674,32
389713,61
95085,2
20693,0
70399,47
13029,17
319888,5
545943,26
268226,15
178835,57
279240,54
1020,0
229829,18
431865,27
276213,19
62057,46
225268,5
48247,36
58799,50
275785,49
506981,17
573508,24
104041,32
149839,38
212054,53
282396,11
53431,39
542135,6
468062,4
257644,7
261095,39
275161,36
210255,67
355107,32
503183,8
495577,25
452207,17
35251,19
202994,20
421497,10
308426,8
19291,0
466563,47
275719,53
423871,29
322405,16
468017,56
48318,35
99055,29
329681,9
169694,16
529943,49
553107,34
537912,16
170479,13
210484,31
169298,41
167002,20
344721,49
473283,24
563251,0
368081,33
567136,31
488560,1
556015,25
276177,21
500626,58
380584,2
106413,38
76749,63
534220,9
576254,1
427159,53
246224,58
296985,26
275428,28
87059,16
457531,19
214291,12
378926,38
50499,76
561825,54
56782,51
63075,45
398306,44
125189,0
179743,1
341517,14
303531,63
538545,2
197853,41
514798,10
330451,35
271872,13
566902,16
1480,0
468943,7
32517,62
476370,14
465249,22
8279,11
38210,28
470533,51
440595,34
255134,21
409464,14
233117,22
476499,8
303113,38
221207,9
142945,13
132348,0
214622,34
152046,16
99938,31
141150,28
471345,3
137932,14
507225,10
18972,2
368020,42
463822,64
153754,21
491971,0
491885,32
549650,12
202644,7
235353,39
19655,8
578773,18
188972,4
577859,21
244921,13
511860,0
42503,72
132177,76
343940,52
447388,21
144089,28
6253,2
314254,10
509752,31
324917,22
497148,32
433195,34
469522,27
449588,40
421677,9
393653,15
394595,26
110195,42
74329,0
385790,28
215004,19
319196,5
161313,0
389256,46
82559,0
419404,35
2940,0
566097,12
581544,20
122316,0
224184,4
248154,6
429558,19
238390,61
577200,17
132098,0
410260,19
145143,31
334160,44
398769,47
551100,16
187141,54
276455,49
575767,50
544735,36
247472,10
320286,7
224626,12
276403,24
